codigo_region;nombre_region;codigo_comuna;nombre_comuna;clasificacion;tramo_fonasa;beneficiarios
6;Libertador General Bernardo O'Higgins;6310;Santa Cruz;Mixta;A;7299
6;Libertador General Bernardo O'Higgins;6310;Santa Cruz;Mixta;B;21945
6;Libertador General Bernardo O'Higgins;6310;Santa Cruz;Mixta;C;6780
6;Libertador General Bernardo O'Higgins;6310;Santa Cruz;Mixta;D;8164
7;Maule;7101;Talca;Urbana;A;41872
7;Maule;7101;Talca;Urbana;B;101339
7;Maule;7101;Talca;Urbana;C;37282
7;Maule;7101;Talca;Urbana;D;52159
7;Maule;7102;Constitución;Mixta;A;13550
7;Maule;7102;Constitución;Mixta;B;17290
7;Maule;7102;Constitución;Mixta;C;7929
7;Maule;7102;Constitución;Mixta;D;9448
7;Maule;7103;Curepto;Rural;A;1390
7;Maule;7103;Curepto;Rural;B;3426
7;Maule;7103;Curepto;Rural;C;873
7;Maule;7103;Curepto;Rural;D;1164
7;Maule;7104;Empedrado;Rural;A;1214
7;Maule;7104;Empedrado;Rural;B;1848
