codigo_region;nombre_region;codigo_comuna;nombre_comuna;clasificacion;tramo_fonasa;sexo;beneficiarios
4;Coquimbo;4104;La Higuera;Rural;D;Hombre;260
4;Coquimbo;4104;La Higuera;Rural;D;Mujer;138
4;Coquimbo;4105;Paiguano;Rural;A;Hombre;245
4;Coquimbo;4105;Paiguano;Rural;A;Mujer;310
4;Coquimbo;4105;Paiguano;Rural;B;Hombre;633
4;Coquimbo;4105;Paiguano;Rural;B;Mujer;809
4;Coquimbo;4105;Paiguano;Rural;C;Hombre;265
4;Coquimbo;4105;Paiguano;Rural;C;Mujer;269
4;Coquimbo;4105;Paiguano;Rural;D;Hombre;394
4;Coquimbo;4105;Paiguano;Rural;D;Mujer;300
4;Coquimbo;4106;Vicuña;Rural;A;Hombre;1785
4;Coquimbo;4106;Vicuña;Rural;A;Mujer;2351
4;Coquimbo;4106;Vicuña;Rural;B;Hombre;4601
4;Coquimbo;4106;Vicuña;Rural;B;Mujer;5668
4;Coquimbo;4106;Vicuña;Rural;C;Hombre;1655
4;Coquimbo;4106;Vicuña;Rural;C;Mujer;1564
4;Coquimbo;4106;Vicuña;Rural;D;Hombre;3459
4;Coquimbo;4106;Vicuña;Rural;D;Mujer;2175
4;Coquimbo;4201;Illapel;Rural;A;Hombre;2611
4;Coquimbo;4201;Illapel;Rural;A;Mujer;3867
4;Coquimbo;4201;Illapel;Rural;B;Hombre;5120
4;Coquimbo;4201;Illapel;Rural;B;Mujer;7384
4;Coquimbo;4201;Illapel;Rural;C;Hombre;2618
4;Coquimbo;4201;Illapel;Rural;C;Mujer;2330
4;Coquimbo;4201;Illapel;Rural;D;Hombre;4729
4;Coquimbo;4201;Illapel;Rural;D;Mujer;2986
4;Coquimbo;4202;Canela;Rural;A;Hombre;982
4;Coquimbo;4202;Canela;Rural;A;Mujer;1344
4;Coquimbo;4202;Canela;Rural;B;Hombre;2007
4;Coquimbo;4202;Canela;Rural;B;Mujer;2441
4;Coquimbo;4202;Canela;Rural;C;Hombre;734
4;Coquimbo;4202;Canela;Rural;C;Mujer;547
4;Coquimbo;4202;Canela;Rural;D;Hombre;1288
4;Coquimbo;4202;Canela;Rural;D;Mujer;795
4;Coquimbo;4203;Los Vilos;Rural;A;Hombre;2255
4;Coquimbo;4203;Los Vilos;Rural;A;Mujer;2419
4;Coquimbo;4203;Los Vilos;Rural;B;Hombre;2937
4;Coquimbo;4203;Los Vilos;Rural;B;Mujer;3532
4;Coquimbo;4203;Los Vilos;Rural;C;Hombre;1149
4;Coquimbo;4203;Los Vilos;Rural;C;Mujer;946
4;Coquimbo;4203;Los Vilos;Rural;D;Hombre;1994
4;Coquimbo;4203;Los Vilos;Rural;D;Indeterminado;1
4;Coquimbo;4203;Los Vilos;Rural;D;Mujer;1345
4;Coquimbo;4204;Salamanca;Rural;A;Hombre;1715
4;Coquimbo;4204;Salamanca;Rural;A;Mujer;2438
4;Coquimbo;4204;Salamanca;Rural;B;Hombre;3871
4;Coquimbo;4204;Salamanca;Rural;B;Mujer;4579
4;Coquimbo;4204;Salamanca;Rural;C;Hombre;1549
4;Coquimbo;4204;Salamanca;Rural;C;Indeterminado;1
4;Coquimbo;4204;Salamanca;Rural;C;Mujer;1438
4;Coquimbo;4204;Salamanca;Rural;D;Hombre;3540
4;Coquimbo;4204;Salamanca;Rural;D;Mujer;1896
4;Coquimbo;4301;Ovalle;Urbana;A;Hombre;7778
4;Coquimbo;4301;Ovalle;Urbana;A;Mujer;10928
4;Coquimbo;4301;Ovalle;Urbana;B;Hombre;21769
4;Coquimbo;4301;Ovalle;Urbana;B;Mujer;28302
4;Coquimbo;4301;Ovalle;Urbana;C;Hombre;9426
4;Coquimbo;4301;Ovalle;Urbana;C;Mujer;9219
4;Coquimbo;4301;Ovalle;Urbana;D;Hombre;15704
4;Coquimbo;4301;Ovalle;Urbana;D;Mujer;11660
4;Coquimbo;4302;Combarbalá;Rural;A;Hombre;916
4;Coquimbo;4302;Combarbalá;Rural;A;Mujer;1186
4;Coquimbo;4302;Combarbalá;Rural;B;Hombre;1977
4;Coquimbo;4302;Combarbalá;Rural;B;Mujer;2469
4;Coquimbo;4302;Combarbalá;Rural;C;Hombre;731
4;Coquimbo;4302;Combarbalá;Rural;C;Mujer;545
4;Coquimbo;4302;Combarbalá;Rural;D;Hombre;1276
4;Coquimbo;4302;Combarbalá;Rural;D;Mujer;715
4;Coquimbo;4303;Monte Patria;Rural;A;Hombre;2709
4;Coquimbo;4303;Monte Patria;Rural;A;Mujer;3770
4;Coquimbo;4303;Monte Patria;Rural;B;Hombre;6668
4;Coquimbo;4303;Monte Patria;Rural;B;Mujer;7594
4;Coquimbo;4303;Monte Patria;Rural;C;Hombre;2350
4;Coquimbo;4303;Monte Patria;Rural;C;Mujer;2067
