codigo_region;region;codigo_comuna;comuna;n_habitantes;km_2;densidad;tipo_com;clasificacion
7;Maule;7306;ROMERAL;15187;1602;9,48002496878901e+00;2;Mixta
7;Maule;7307;SAGRADA FAMILIA;18544;547;3,39012797074954e+01;3;Rural
7;Maule;7308;TENO;28921;619;4,67221324717286e+01;3;Rural
7;Maule;7309;VICHUQUÉN;4322;452;9,56194690265487e+00;3;Rural
7;Maule;7401;LINARES;93602;1468;6,37615803814714e+01;1;Urbana
7;Maule;7402;COLBÚN;20765;2925;7,09914529914530e+00;3;Rural
7;Maule;7403;LONGAVÍ;30534;1456;2,09711538461538e+01;3;Rural
7;Maule;7404;PARRAL;41637;1635;2,54660550458716e+01;2;Mixta
7;Maule;7405;RETIRO;19974;825;2,42109090909091e+01;3;Rural
7;Maule;7406;SAN JAVIER;45547;1311;3,47421815408085e+01;2;Mixta
7;Maule;7407;VILLA ALEGRE;16221;191;8,49267015706806e+01;2;Mixta
7;Maule;7408;YERBAS BUENAS;18081;258;7,00813953488372e+01;3;Rural
8;Biobío;8101;CONCEPCIÓN;223574;214;1,04473831775701e+03;1;Urbana
8;Biobío;8102;CORONEL;116262;274;4,24313868613139e+02;1;Urbana
8;Biobío;8103;CHIGUAYANTE;85938;63;1,36409523809524e+03;1;Urbana
8;Biobío;8104;FLORIDA;10624;606;1,75313531353135e+01;3;Rural
8;Biobío;8105;HUALQUI;24333;534;4,55674157303371e+01;2;Mixta
8;Biobío;8106;LOTA;43535;114;3,81885964912281e+02;2;Mixta
8;Biobío;8107;PENCO;47367;108;4,38583333333333e+02;2;Mixta
8;Biobío;8108;SAN PEDRO DE LA PAZ;131808;92;1,43269565217391e+03;1;Urbana
8;Biobío;8109;SANTA JUANA;13749;780;1,76269230769231e+01;2;Mixta
8;Biobío;8110;TALCAHUANO;151749;93;1,63170967741935e+03;1;Urbana
8;Biobío;8111;TOMÉ;54946;497;1,10555331991952e+02;1;Urbana
8;Biobío;8112;HUALPÉN;91773;45;2,03940000000000e+03;1;Urbana
